state,head_of_state_salary_usd,post,source1,source2,source3,head_of_government_salary_usd,post_hg,source1_hg,source2_hg,source3_hg,head_of_state_salary_divided_by_gdp_1_per_million,head_of_government_salary_divided_by_gdp_1_per_million,head_of_state_salary_divided_by_gdp_per_capita,head_of_government_salary_divided_by_gdp_per_capita,iso3
Netherlands,6082736, King royal grant, 116, 9,NA,193844, Prime Minister, 18,NA,NA,0.6415,0.2348,125.8167,4.0095,NLD
New Zealand,260245, Governor General, 18,NA,NA,325546, Prime Minister, 117,NA,NA,0.6415,1.6157,6.2569,7.8269,NZL
Nicaragua,38316, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,17.3611,NA,NIC
Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,NER
Nigeria,69000, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,34.6038,NA,NGA
North Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,PRK
Norway,33237000, King royal grant, 9,NA,NA,210714, Prime Minister, 18,NA,NA,0.6415,0.5315,443.5089,2.8117,NOR
Oman,7238000, Sultan privy purse 1975, 118,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,OMN
Pakistan,65794, President, 119, 120,NA,13553, Prime Minister, 121,NA,NA,0.6415,0.0446,30.2401,8.7949,PAK
Palau,90000, President, 122, 123,NA,NA,NA,NA,NA,NA,0.6415,NA,5.2645,NA,PLW
Panama,84000, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,5.567,NA,PAN
